i=5 137.139 time 2:17, left 3:46:16
i=10 129.132 time 2:09, left 3:57:37
i=16 169.172 time 2:49, left 4:08:53
i=22 105.244 time 1:45, left 3:46:04
i=27 106.151 time 1:46, left 3:40:13
i=31 159.225 time 2:39, left 3:58:27
i=37 131.060 time 2:11, left 3:50:59
i=43 162.630 time 2:42, left 3:51:36
i=50 135.089 time 2:15, left 3:41:32
i=55 160.461 time 2:40, left 3:45:54
i=61 120.337 time 2:00, left 3:39:11
i=69 72.942 time 1:12, left 3:20:27
i=73 117.621 time 1:57, left 3:22:07
i=80 75.343 time 1:15, left 3:10:15
i=85 114.547 time 1:54, left 3:08:52
i=92 96.698 time 1:36, left 3:01:03
i=97 97.497 time 1:37, left 2:58:27
i=103 113.542 time 1:53, left 2:55:10
i=110 100.876 time 1:40, left 2:49:13
i=116 124.704 time 2:04, left 2:47:09
i=123 183.256 time 3:03, left 2:47:09
i=129 130.805 time 2:10, left 2:45:18
i=134 157.804 time 2:37, left 2:46:33
i=139 158.451 time 2:38, left 2:47:33
i=146 217.361 time 3:37, left 2:48:18
i=153 184.343 time 3:04, left 2:47:04
i=159 157.817 time 2:37, left 2:45:52
i=166 218.588 time 3:38, left 2:45:50
i=173 186.693 time 3:06, left 2:44:13
i=179 158.044 time 2:38, left 2:42:39
i=187 68.737 time 1:08, left 2:35:16
i=191 126.448 time 2:06, left 2:35:02
i=197 99.940 time 1:39, left 2:31:31
i=203 116.134 time 1:56, left 2:28:37
i=210 102.937 time 1:42, left 2:24:18
i=216 122.063 time 2:02, left 2:21:45
i=222 71.355 time 1:11, left 2:17:47
i=227 71.683 time 1:11, left 2:14:55
i=231 125.993 time 2:05, left 2:14:30
i=238 121.602 time 2:01, left 2:11:08
i=244 112.662 time 1:52, left 2:08:31
i=248 156.915 time 2:36, left 2:08:43
i=256 167.866 time 2:47, left 2:05:36
i=263 164.295 time 2:44, left 2:03:16
i=269 117.986 time 1:57, left 2:00:46
i=274 136.398 time 2:16, left 1:59:28
i=280 117.230 time 1:57, left 1:56:58
i=285 167.670 time 2:47, left 1:56:12
i=292 129.259 time 2:09, left 1:53:09
i=297 130.579 time 2:10, left 1:51:39
i=302 68.241 time 1:08, left 1:49:06
i=307 68.617 time 1:08, left 1:46:36
i=311 125.716 time 2:05, left 1:45:44
i=317 98.814 time 1:38, left 1:43:02
i=323 115.353 time 1:55, left 1:40:37
i=330 102.684 time 1:42, left 1:37:23
i=336 121.122 time 2:01, left 1:35:05
i=342 71.021 time 1:11, left 1:32:11
i=347 71.946 time 1:11, left 1:29:57
i=351 125.491 time 2:05, left 1:28:59
i=358 121.256 time 2:01, left 1:26:09
i=365 108.755 time 1:48, left 1:23:12
i=372 96.371 time 1:36, left 1:20:11
i=377 97.184 time 1:37, left 1:18:20
i=383 112.855 time 1:52, left 1:16:05
i=390 100.134 time 1:40, left 1:13:11
i=395 116.927 time 1:56, left 1:11:32
i=401 128.555 time 2:08, left 1:09:27
i=409 77.312 time 1:17, left 1:05:56
i=414 103.214 time 1:43, left 1:04:12
i=419 89.856 time 1:29, left 2:14:47
i=424 120.546 time 2:00, left 1:27:40
i=430 153.639 time 2:33, left 1:18:52
i=436 200.814 time 3:20, left 1:20:45
i=442 126.263 time 2:06, left 1:12:20
i=447 126.899 time 2:06, left 1:09:04
i=451 188.689 time 3:08, left 1:13:02
i=458 187.216 time 3:07, left 1:08:25
i=464 140.683 time 2:20, left 1:03:53
i=468 198.762 time 3:18, left 1:05:38
i=476 197.157 time 3:17, left 1:00:07
i=484 76.207 time 1:16, left 51:41
i=488 112.160 time 1:52, left 49:59
i=495 124.995 time 2:04, left 45:25
i=501 133.517 time 2:13, left 42:20
i=508 118.852 time 1:58, left 38:16
i=515 121.874 time 2:01, left 34:32
i=521 134.758 time 2:14, left 31:54
i=529 80.564 time 1:20, left 27:25
i=534 106.285 time 1:46, left 25:22
i=540 113.005 time 1:53, left 22:48
i=546 180.805 time 3:00, left 20:46
i=553 162.053 time 2:42, left 18:00
i=559 141.168 time 2:21, left 15:39
i=566 191.612 time 3:11, left 13:01
i=573 159.961 time 2:39, left 10:14
i=579 139.596 time 2:19, left 7:52
i=585 169.875 time 2:49, left 5:33
i=591 168.731 time 2:48, left 3:11
i=598 142.848 time 2:22, left 0:23
