i=4 10.894 time 0:10, left 21:36
i=9 11.217 time 0:11, left 21:44
i=16 11.165 time 0:11, left 19:01
i=22 11.456 time 0:11, left 18:42
i=28 11.120 time 0:11, left 18:19
i=33 11.463 time 0:11, left 18:40
i=39 11.623 time 0:11, left 18:25
i=45 11.325 time 0:11, left 18:07
i=51 11.659 time 0:11, left 17:54
i=57 11.843 time 0:11, left 17:43
i=63 11.462 time 0:11, left 17:28
i=68 11.472 time 0:11, left 17:31
i=73 11.728 time 0:11, left 17:35
i=79 11.861 time 0:11, left 17:21
i=85 11.519 time 0:11, left 17:06
i=90 11.716 time 0:11, left 17:06
i=96 11.947 time 0:11, left 16:53
i=102 12.197 time 0:12, left 16:42
i=109 12.199 time 0:12, left 16:19
i=116 11.939 time 0:11, left 15:56
i=122 12.517 time 0:12, left 15:47
i=130 12.085 time 0:12, left 15:17
i=136 12.158 time 0:12, left 15:07
i=142 12.358 time 0:12, left 14:57
i=148 12.133 time 0:12, left 14:47
i=153 12.841 time 0:12, left 14:45
i=159 13.173 time 0:13, left 14:37
i=165 12.872 time 0:12, left 14:27
i=171 13.111 time 0:13, left 14:18
i=177 13.357 time 0:13, left 14:09
i=183 12.752 time 0:12, left 13:59
i=189 13.232 time 0:13, left 13:49
i=195 12.808 time 0:12, left 13:38
i=201 12.841 time 0:12, left 13:27
i=207 13.260 time 0:13, left 13:17
i=213 12.946 time 0:12, left 13:06
i=219 13.096 time 0:13, left 12:56
i=225 12.607 time 0:12, left 12:44
i=230 12.905 time 0:12, left 12:38
i=236 12.958 time 0:12, left 12:27
i=242 13.276 time 0:13, left 12:16
i=249 13.287 time 0:13, left 12:00
i=255 12.917 time 0:12, left 11:48
i=261 12.887 time 0:12, left 11:36
i=267 13.308 time 0:13, left 11:25
i=273 13.009 time 0:13, left 11:14
i=279 13.217 time 0:13, left 11:02
i=285 12.735 time 0:12, left 10:50
i=290 13.249 time 0:13, left 10:43
i=296 13.049 time 0:13, left 10:31
i=302 13.067 time 0:13, left 10:19
i=308 12.532 time 0:12, left 10:06
i=314 12.903 time 0:12, left 9:54
i=320 12.870 time 0:12, left 9:42
i=326 12.665 time 0:12, left 9:30
i=332 13.037 time 0:13, left 9:17
i=338 12.733 time 0:12, left 9:05
i=344 12.998 time 0:12, left 8:53
i=351 12.764 time 0:12, left 8:37
i=357 13.056 time 0:13, left 8:25
i=363 12.640 time 0:12, left 8:12
i=368 12.601 time 0:12, left 8:03
i=374 12.963 time 0:12, left 7:51
i=380 12.944 time 0:12, left 7:38
i=386 12.750 time 0:12, left 7:26
i=392 13.086 time 0:13, left 7:14
i=398 12.821 time 0:12, left 7:01
i=404 13.239 time 0:13, left 6:49
i=410 12.816 time 0:12, left 6:36
i=416 12.917 time 0:12, left 6:24
i=422 13.319 time 0:13, left 6:12
i=429 13.299 time 0:13, left 5:56
i=435 12.922 time 0:12, left 5:44
i=441 12.949 time 0:12, left 5:31
i=447 13.343 time 0:13, left 5:19
i=453 13.062 time 0:13, left 5:07
i=459 13.166 time 0:13, left 4:54
i=465 12.727 time 0:12, left 4:42
i=471 13.071 time 0:13, left 4:29
i=477 13.277 time 0:13, left 4:17
i=483 12.647 time 0:12, left 4:04
i=489 13.175 time 0:13, left 3:51
i=495 12.783 time 0:12, left 3:39
i=501 12.780 time 0:12, left 3:26
i=507 13.242 time 0:13, left 3:14
i=513 12.926 time 0:12, left 3:01
i=519 13.041 time 0:13, left 2:48
i=525 12.606 time 0:12, left 2:36
i=531 12.977 time 0:12, left 2:23
i=537 13.140 time 0:13, left 2:10
i=543 12.751 time 0:12, left 1:58
i=549 13.559 time 0:13, left 1:45
i=555 13.033 time 0:13, left 1:33
i=561 12.847 time 0:12, left 1:20
i=567 13.773 time 0:13, left 1:07
i=573 13.140 time 0:13, left 0:55
i=579 13.301 time 0:13, left 0:42
i=585 12.829 time 0:12, left 0:29
i=591 13.154 time 0:13, left 0:16
i=597 13.020 time 0:13, left 0:04
