257 misere(7,25) 3.670 0
57 misere(7,5) 3.670 4
254 misere(4,25) 3.680 2
44 misere(4,4) 3.680 3
49 misere(9,4) 3.680 5
198 misere(8,19) 3.680 2
282 misere(2,28) 3.680 5
242 misere(2,24) 3.680 5
252 misere(2,25) 3.680 1
76 misere(6,7) 3.680 2
206 misere(6,20) 3.690 0
259 misere(9,25) 3.690 5
59 misere(9,5) 3.690 1
187 misere(7,18) 3.690 3
65 misere(5,6) 3.690 1
79 misere(9,7) 3.690 5
340 misere(0,34) 3.690 5
392 misere(2,39) 3.700 5
401 misere(1,40) 3.700 0
35 misere(5,3) 3.700 1
599 misere(9,59) 3.700 5
372 misere(2,37) 3.700 4
379 misere(9,37) 3.700 4
25 misere(5,2) 3.700 5
191 misere(1,19) 3.700 2
95 misere(5,9) 3.700 1
178 misere(8,17) 3.700 4
81 misere(1,8) 3.710 4
190 misere(0,19) 3.710 4
180 misere(0,18) 3.710 2
140 misere(0,14) 3.710 3
355 misere(5,35) 3.710 1
69 misere(9,6) 3.710 4
70 misere(0,7) 3.710 2
128 misere(8,12) 3.720 3
384 misere(4,38) 3.720 4
317 misere(7,31) 3.720 5
308 misere(8,30) 3.720 2
271 misere(1,27) 3.720 1
350 misere(0,35) 3.730 2
332 misere(2,33) 3.730 2
326 misere(6,32) 3.730 2
163 misere(3,16) 3.730 1
289 misere(9,28) 3.730 1
485 misere(5,48) 3.730 2
275 misere(5,27) 3.730 0
506 misere(6,50) 3.730 5
45 misere(5,4) 3.730 4
274 misere(4,27) 3.740 4
286 misere(6,28) 3.740 0
291 misere(1,29) 3.740 3
414 misere(4,41) 3.740 5
597 misere(7,59) 3.750 0
77 misere(7,7) 3.750 1
266 misere(6,26) 3.750 2
320 misere(0,32) 3.750 2
413 misere(3,41) 3.750 0
365 misere(5,36) 3.750 3
99 misere(9,9) 3.750 4
207 misere(7,20) 3.750 5
250 misere(0,25) 3.750 4
315 misere(5,31) 3.750 3
301 misere(1,30) 3.760 2
249 misere(9,24) 3.760 3
536 misere(6,53) 3.760 5
389 misere(9,38) 3.760 0
156 misere(6,15) 3.760 5
24 misere(4,2) 3.760 3
309 misere(9,30) 3.760 3
32 misere(2,3) 3.760 3
148 misere(8,14) 3.760 2
137 misere(7,13) 3.760 0
501 misere(1,50) 3.760 5
