i=0 405.187 time 6:45, left 67:25:07
i=7 405.650 time 6:45, left 16:40:01
i=12 782.887 time 13:02, left 19:59:22
i=18 914.407 time 15:14, left 21:18:16
i=25 589.596 time 9:49, left 18:59:48
i=32 619.879 time 10:19, left 17:44:35
i=37 607.857 time 10:07, left 17:46:11
i=42 490.764 time 8:10, left 17:19:46
i=48 585.938 time 9:45, left 16:52:26
i=54 903.845 time 15:03, left 17:21:26
i=59 933.199 time 15:33, left 18:05:52
i=69 289.044 time 4:49, left 15:49:59
i=75 550.556 time 9:10, left 15:28:21
i=81 370.009 time 6:10, left 14:49:31
i=86 392.802 time 6:32, left 14:28:55
i=93 477.738 time 7:57, left 13:56:05
i=99 431.943 time 7:11, left 13:32:36
i=104 321.780 time 5:21, left 13:11:27
i=110 494.619 time 8:14, left 12:55:55
i=116 555.371 time 9:15, left 12:45:18
i=123 546.966 time 9:06, left 12:26:37
i=129 483.584 time 8:03, left 12:12:20
i=135 1017.469 time 16:57, left 12:28:56
i=141 649.948 time 10:49, left 12:22:57
i=147 520.421 time 8:40, left 12:09:59
i=151 878.339 time 14:38, left 12:27:38
i=158 838.854 time 13:58, left 12:22:20
i=165 646.733 time 10:46, left 12:07:55
i=172 778.579 time 12:58, left 11:59:14
i=177 769.430 time 12:49, left 12:01:14
i=183 362.010 time 6:02, left 11:41:27
i=189 315.895 time 5:15, left 11:20:51
i=194 598.950 time 9:58, left 11:16:02
i=200 373.379 time 6:13, left 10:58:30
i=204 365.482 time 6:05, left 10:50:55
i=210 497.080 time 8:17, left 10:38:04
i=216 572.703 time 9:32, left 10:27:42
i=223 406.352 time 6:46, left 10:08:20
i=229 366.919 time 6:06, left 9:52:51
i=235 633.656 time 10:33, left 9:44:42
i=241 546.659 time 9:06, left 9:34:17
i=247 412.467 time 6:52, left 9:20:45
i=252 798.122 time 13:18, left 9:20:06
i=257 785.663 time 13:05, left 9:18:42
i=262 472.049 time 7:52, left 9:10:09
i=268 555.196 time 9:15, left 8:59:41
i=274 705.838 time 11:45, left 8:52:14
i=279 697.205 time 11:37, left 8:47:58
i=285 609.384 time 10:09, left 8:38:21
i=292 762.693 time 12:42, left 8:28:01
i=297 747.376 time 12:27, left 8:23:58
i=304 310.284 time 5:10, left 8:06:00
i=309 309.956 time 5:09, left 7:54:53
i=314 571.712 time 9:31, left 7:47:55
i=320 363.360 time 6:03, left 7:34:46
i=324 356.454 time 5:56, left 7:27:45
i=329 359.014 time 5:59, left 7:17:51
i=335 548.369 time 9:08, left 7:07:39
i=341 414.154 time 6:54, left 6:55:48
i=348 393.459 time 6:33, left 6:41:08
i=354 551.602 time 9:11, left 6:31:16
i=360 281.666 time 4:41, left 6:18:27
i=362 271.220 time 4:31, left 6:16:10
i=368 323.659 time 5:23, left 6:04:03
i=374 506.264 time 8:26, left 5:53:59
i=379 505.470 time 8:25, left 5:46:27
i=386 389.631 time 6:29, left 5:32:56
i=393 472.184 time 7:52, left 5:20:23
i=399 427.339 time 7:07, left 5:09:57
i=406 391.234 time 6:31, left 4:57:03
i=412 455.510 time 7:35, left 4:47:04
i=417 450.250 time 7:30, left 4:39:19
i=422 463.843 time 7:43, left 4:31:40
i=428 557.812 time 9:17, left 4:22:29
i=434 892.271 time 14:52, left 4:15:26
i=440 558.811 time 9:18, left 4:06:09
i=442 529.659 time 8:49, left 4:05:05
i=448 612.826 time 10:12, left 3:56:00
i=454 744.639 time 12:24, left 3:47:35
i=460 556.704 time 9:16, left 3:38:08
i=464 550.922 time 9:10, left 3:32:42
i=470 845.403 time 14:05, left 3:24:31
i=476 1031.135 time 17:11, left 3:16:59
i=486 418.839 time 6:58, left 2:58:52
i=492 554.260 time 9:14, left 2:49:19
i=497 544.600 time 9:04, left 2:41:38
i=502 352.622 time 5:52, left 2:33:19
i=508 403.818 time 6:43, left 2:23:21
i=514 504.491 time 8:24, left 2:13:43
i=520 377.323 time 6:17, left 2:03:48
i=524 369.892 time 6:09, left 1:57:31
i=530 584.554 time 9:44, left 1:48:10
i=536 645.333 time 10:45, left 1:38:55
i=544 432.103 time 7:12, left 1:25:49
i=549 432.505 time 7:12, left 1:17:57
i=554 860.763 time 14:20, left 1:10:41
i=560 498.554 time 8:18, left 1:01:11
i=563 550.295 time 9:10, left 56:46
i=569 493.160 time 8:13, left 47:14
i=575 830.963 time 13:50, left 37:58
i=581 608.115 time 10:08, left 28:30
i=587 466.715 time 7:46, left 18:58
i=591 963.837 time 16:03, left 12:46
i=598 788.255 time 13:08, left 1:36
