i=2 462.137 time 7:42, left 25:32:45
i=7 496.037 time 8:16, left 19:41:44
i=12 704.103 time 11:44, left 20:50:58
i=18 851.893 time 14:11, left 21:21:20
i=26 747.665 time 12:27, left 19:13:43
i=33 804.427 time 13:24, left 18:48:11
i=39 647.344 time 10:47, left 18:19:50
i=45 663.657 time 11:03, left 17:59:20
i=51 968.118 time 16:08, left 18:34:30
i=58 859.649 time 14:19, left 18:21:06
i=68 413.069 time 6:53, left 16:17:06
i=75 507.324 time 8:27, left 15:33:42
i=81 480.761 time 8:00, left 15:06:05
i=87 328.809 time 5:28, left 14:26:25
i=92 414.365 time 6:54, left 14:09:29
i=97 403.936 time 6:43, left 13:52:40
i=103 433.640 time 7:13, left 13:29:43
i=110 429.267 time 7:09, left 12:59:28
i=116 555.950 time 9:15, left 12:48:40
i=123 789.326 time 13:09, left 12:45:16
i=130 919.273 time 15:19, left 12:48:35
i=136 1256.844 time 20:56, left 13:16:18
i=142 658.524 time 10:58, left 13:08:05
i=148 853.755 time 14:13, left 13:09:29
i=155 1029.921 time 17:09, left 13:11:13
i=161 960.918 time 16:00, left 13:14:55
i=167 665.267 time 11:05, left 13:04:32
i=172 924.394 time 15:24, left 13:11:04
i=177 889.742 time 14:49, left 13:15:00
i=184 343.816 time 5:43, left 12:45:05
i=188 437.870 time 7:17, left 12:37:33
i=195 543.821 time 9:03, left 12:16:44
i=201 514.981 time 8:34, left 12:01:08
i=208 458.035 time 7:38, left 11:39:01
i=215 505.079 time 8:25, left 11:19:13
i=221 519.213 time 8:39, left 11:05:16
i=228 460.545 time 7:40, left 10:45:25
i=235 547.535 time 9:07, left 10:28:32
i=241 697.370 time 11:37, left 10:20:02
i=248 624.996 time 10:24, left 10:05:31
i=255 831.926 time 13:51, left 9:55:50
i=261 749.760 time 12:29, left 9:48:10
i=267 519.910 time 8:39, left 9:35:31
i=272 672.146 time 11:12, left 9:29:53
i=277 651.088 time 10:51, left 9:23:39
i=283 668.978 time 11:08, left 9:13:52
i=290 695.335 time 11:35, left 9:00:52
i=296 952.339 time 15:52, left 8:55:51
i=304 343.707 time 5:43, left 8:33:34
i=309 345.605 time 5:45, left 8:22:06
i=314 444.659 time 7:24, left 8:12:19
i=319 437.154 time 7:17, left 8:02:30
i=325 456.676 time 7:36, left 7:49:52
i=331 555.450 time 9:15, left 7:38:44
i=338 508.015 time 8:28, left 7:24:03
i=346 519.489 time 8:39, left 7:06:50
i=353 543.843 time 9:03, left 6:53:07
i=360 312.389 time 5:12, left 6:37:01
i=362 318.033 time 5:18, left 6:34:59
i=368 414.553 time 6:54, left 6:23:03
i=375 507.386 time 8:27, left 6:09:34
i=381 481.409 time 8:01, left 5:58:36
i=387 329.263 time 5:29, left 5:46:20
i=392 416.322 time 6:56, left 5:37:31
i=398 479.257 time 7:59, left 5:26:50
i=406 490.010 time 8:10, left 5:11:32
i=412 433.554 time 7:13, left 5:00:44
i=417 416.954 time 6:56, left 4:52:13
i=423 793.521 time 13:13, left 4:44:04
i=430 909.250 time 15:09, left 4:34:17
i=436 1213.662 time 20:13, left 4:28:27
i=442 664.430 time 11:04, left 4:19:00
i=448 862.066 time 14:22, left 4:10:36
i=455 997.125 time 16:37, left 4:00:34
i=461 962.363 time 16:02, left 3:52:20
i=467 672.644 time 11:12, left 3:42:33
i=472 925.843 time 15:25, left 3:36:00
i=477 885.509 time 14:45, left 3:29:05
i=483 436.528 time 7:16, left 3:18:05
i=490 453.764 time 7:33, left 3:05:09
i=496 599.101 time 9:59, left 2:54:55
i=503 458.685 time 7:38, left 2:42:13
i=510 427.149 time 7:07, left 2:29:34
i=516 566.308 time 9:26, left 2:19:23
i=522 355.595 time 5:55, left 2:08:42
i=527 354.816 time 5:54, left 2:00:00
i=533 550.688 time 9:10, left 1:49:54
i=540 480.955 time 8:00, left 1:37:51
i=545 629.172 time 10:29, left 1:29:46
i=551 949.721 time 15:49, left 1:20:18
i=558 833.128 time 13:53, left 1:08:45
i=566 759.311 time 12:39, left 55:18
i=573 787.682 time 13:07, left 43:38
i=580 517.813 time 8:37, left 31:47
i=584 532.742 time 8:52, left 25:08
i=589 533.196 time 8:53, left 16:46
i=595 850.921 time 14:10, left 6:44
