i=3 467.845 time 7:47, left 19:21:48
i=9 424.558 time 7:04, left 14:37:31
i=14 848.543 time 14:08, left 18:51:36
i=19 839.242 time 13:59, left 20:47:05
i=27 468.190 time 7:48, left 17:17:54
i=31 803.008 time 13:23, left 18:59:22
i=38 771.452 time 12:51, left 18:28:17
i=46 692.286 time 11:32, left 17:22:17
i=53 952.628 time 15:52, left 17:36:13
i=58 904.472 time 15:04, left 18:16:05
i=67 275.877 time 4:35, left 16:11:10
i=73 529.203 time 8:49, left 15:45:03
i=79 510.378 time 8:30, left 15:19:29
i=87 309.567 time 5:09, left 14:13:03
i=91 482.636 time 8:02, left 14:14:01
i=98 474.516 time 7:54, left 13:42:43
i=105 387.454 time 6:27, left 13:07:44
i=111 536.292 time 8:56, left 12:55:26
i=118 516.519 time 8:36, left 12:34:09
i=124 484.137 time 8:04, left 12:19:39
i=130 863.604 time 14:23, left 12:28:23
i=136 1058.268 time 17:38, left 12:46:04
i=144 545.209 time 9:05, left 12:19:48
i=150 724.125 time 12:04, left 12:16:56
i=156 905.931 time 15:05, left 12:21:54
i=163 603.064 time 10:03, left 12:05:44
i=169 543.422 time 9:03, left 11:53:23
i=175 989.948 time 16:29, left 11:59:12
i=181 385.868 time 6:25, left 11:40:25
i=185 402.426 time 6:42, left 11:33:44
i=191 631.970 time 10:31, left 11:24:41
i=198 610.307 time 10:10, left 11:09:46
i=205 441.527 time 7:21, left 10:49:47
i=211 552.422 time 9:12, left 10:38:38
i=218 545.922 time 9:05, left 10:22:54
i=225 445.516 time 7:25, left 10:04:48
i=231 624.882 time 10:24, left 9:56:14
i=238 599.275 time 9:59, left 9:42:50
i=245 551.191 time 9:11, left 9:28:30
i=251 1000.459 time 16:40, left 9:28:35
i=258 935.263 time 15:35, left 9:22:36
i=267 470.914 time 7:50, left 8:59:05
i=271 835.525 time 13:55, left 9:01:33
i=278 797.003 time 13:17, left 8:51:59
i=286 656.230 time 10:56, left 8:36:11
i=293 906.005 time 15:06, left 8:28:21
i=300 303.903 time 5:03, left 8:10:12
i=302 292.658 time 4:52, left 8:08:29
i=306 399.936 time 6:39, left 8:01:59
i=312 532.475 time 8:52, left 7:51:12
i=317 522.981 time 8:42, left 7:43:27
i=322 342.108 time 5:42, left 7:33:04
i=328 391.155 time 6:31, left 7:20:33
i=334 483.911 time 8:03, left 7:09:27
i=340 366.533 time 6:06, left 6:56:59
i=346 442.969 time 7:22, left 6:45:40
i=352 513.074 time 8:33, left 6:35:18
i=357 502.955 time 8:22, left 6:27:33
i=363 323.761 time 5:23, left 6:15:13
i=370 501.454 time 8:21, left 6:02:22
i=376 559.001 time 9:19, left 5:52:46
i=384 325.081 time 5:25, left 5:36:04
i=389 324.014 time 5:24, left 5:26:57
i=395 492.093 time 8:12, left 5:17:02
i=401 368.285 time 6:08, left 5:06:08
i=407 304.148 time 5:04, left 4:54:52
i=413 517.282 time 8:37, left 4:45:24
i=419 492.572 time 8:12, left 4:35:46
i=425 607.649 time 10:07, left 4:26:57
i=431 1042.253 time 17:22, left 4:20:55
i=438 976.465 time 16:16, left 4:12:02
i=446 699.812 time 11:39, left 3:59:13
i=453 852.874 time 14:12, left 3:49:19
i=459 741.123 time 12:21, left 3:40:47
i=465 658.923 time 10:58, left 3:31:45
i=471 1005.651 time 16:45, left 3:24:15
i=479 850.953 time 14:10, left 3:11:50
i=487 303.403 time 5:03, left 2:57:16
i=493 618.258 time 10:18, left 2:47:57
i=499 599.001 time 9:59, left 2:38:32
i=507 351.538 time 5:51, left 2:24:37
i=511 554.719 time 9:14, left 2:18:50
i=518 546.236 time 9:06, left 2:07:29
i=525 449.745 time 7:29, left 1:55:59
i=531 627.029 time 10:27, left 1:46:42
i=538 601.146 time 10:01, left 1:35:37
i=546 592.989 time 9:52, left 1:22:49
i=553 939.277 time 15:39, left 1:12:16
i=558 934.116 time 15:34, left 1:04:59
i=567 472.093 time 7:52, left 50:21
i=571 831.698 time 13:51, left 44:26
i=578 795.467 time 13:15, left 33:24
i=586 654.961 time 10:54, left 20:38
i=593 906.962 time 15:06, left 9:33
