i=5 597.723 time 9:57, left 16:26:14
i=10 698.246 time 11:38, left 19:16:33
i=16 966.282 time 16:06, left 21:33:01
i=22 513.508 time 8:33, left 19:20:35
i=28 657.551 time 10:57, left 18:46:40
i=34 652.502 time 10:52, left 18:19:16
i=40 513.847 time 8:33, left 17:25:12
i=44 528.639 time 8:48, left 17:34:09
i=49 526.371 time 8:46, left 17:16:41
i=54 693.927 time 11:33, left 17:28:28
i=59 686.858 time 11:26, left 17:35:19
i=66 459.596 time 7:39, left 16:33:44
i=73 508.561 time 8:28, left 15:48:10
i=80 326.386 time 5:26, left 14:49:33
i=84 333.090 time 5:33, left 14:34:48
i=89 331.926 time 5:31, left 14:09:31
i=94 401.164 time 6:41, left 13:52:28
i=99 398.490 time 6:38, left 13:36:13
i=105 435.833 time 7:15, left 13:14:37
i=111 558.718 time 9:18, left 13:03:30
i=118 503.019 time 8:23, left 12:40:43
i=125 792.286 time 13:12, left 12:37:40
i=131 1250.889 time 20:50, left 13:08:00
i=138 1129.730 time 18:49, left 13:19:34
i=146 956.273 time 15:56, left 13:12:03
i=153 1071.961 time 17:51, left 13:16:06
i=160 664.957 time 11:04, left 12:59:45
i=164 682.275 time 11:22, left 13:03:54
i=169 680.064 time 11:20, left 13:00:46
i=174 917.881 time 15:17, left 13:06:47
i=179 905.583 time 15:05, left 13:11:09
i=187 344.630 time 5:44, left 12:35:39
i=192 459.246 time 7:39, left 12:23:17
i=197 441.817 time 7:21, left 12:10:33
i=202 349.805 time 5:49, left 11:55:06
i=207 350.081 time 5:50, left 11:40:07
i=213 512.946 time 8:32, left 11:25:30
i=220 352.030 time 5:52, left 11:01:48
i=224 358.809 time 5:58, left 10:53:09
i=229 358.245 time 5:58, left 10:40:02
i=234 451.129 time 7:31, left 10:29:38
i=240 480.037 time 8:00, left 10:15:47
i=246 701.622 time 11:41, left 10:07:29
i=252 703.382 time 11:43, left 9:59:05
i=257 672.869 time 11:12, left 9:53:52
i=262 520.104 time 8:40, left 9:45:10
i=268 663.133 time 11:03, left 9:35:32
i=275 762.223 time 12:42, left 9:23:59
i=281 758.428 time 12:38, left 9:16:01
i=287 525.176 time 8:45, left 9:03:39
i=292 706.430 time 11:46, left 8:58:08
i=297 677.321 time 11:17, left 8:51:56
i=303 433.728 time 7:13, left 8:38:07
i=310 448.730 time 7:28, left 8:21:25
i=316 590.778 time 9:50, left 8:10:30
i=323 455.366 time 7:35, left 7:54:30
i=330 421.996 time 7:01, left 7:38:24
i=336 552.702 time 9:12, left 7:27:23
i=342 353.555 time 5:53, left 7:13:57
i=347 352.239 time 5:52, left 7:03:39
i=352 455.724 time 7:35, left 6:54:40
i=357 439.909 time 7:19, left 6:45:34
i=364 326.117 time 5:26, left 6:29:46
i=369 328.175 time 5:28, left 6:19:44
i=374 421.528 time 7:01, left 6:10:44
i=378 500.937 time 8:20, left 6:05:10
i=386 485.982 time 8:05, left 5:49:08
i=393 478.925 time 7:58, left 5:35:50
i=400 330.910 time 5:30, left 5:21:30
i=404 338.056 time 5:38, left 5:14:38
i=409 337.284 time 5:37, left 5:05:26
i=415 509.705 time 8:29, left 4:55:17
i=421 870.955 time 14:30, left 4:47:43
i=428 798.651 time 13:18, left 4:37:11
i=435 1083.693 time 18:03, left 4:28:22
i=441 954.067 time 15:54, left 4:20:43
i=447 668.958 time 11:08, left 4:11:15
i=452 880.821 time 14:40, left 4:05:04
i=457 853.662 time 14:13, left 3:58:33
i=463 862.124 time 14:22, left 3:49:44
i=470 910.782 time 15:10, left 3:38:49
i=476 1222.880 time 20:22, left 3:31:17
i=484 345.652 time 5:45, left 3:15:39
i=488 439.469 time 7:19, left 3:08:57
i=495 545.678 time 9:05, left 2:56:27
i=501 515.710 time 8:35, left 2:45:57
i=508 459.299 time 7:39, left 2:33:21
i=515 507.821 time 8:27, left 2:21:01
i=521 523.225 time 8:43, left 2:10:44
i=528 462.036 time 7:42, left 1:58:28
i=535 548.201 time 9:08, left 1:46:29
i=541 699.305 time 11:39, left 1:36:40
i=548 629.951 time 10:29, left 1:24:54
i=555 838.034 time 13:58, left 1:13:26
i=561 753.096 time 12:33, left 1:03:35
i=567 522.556 time 8:42, left 53:28
i=572 675.226 time 11:15, left 45:15
i=577 653.705 time 10:53, left 36:58
i=583 670.862 time 11:10, left 26:55
i=590 699.229 time 11:39, left 15:08
i=596 944.157 time 15:44, left 5:04
