i=3 595.115 time 9:55, left 24:37:52
i=9 498.420 time 8:18, left 17:55:18
i=13 860.585 time 14:20, left 22:43:13
i=20 509.614 time 8:29, left 18:52:08
i=24 521.417 time 8:41, left 19:04:18
i=30 646.435 time 10:46, left 18:30:57
i=36 895.940 time 14:55, left 19:08:11
i=42 520.585 time 8:40, left 18:09:50
i=48 664.828 time 11:04, left 17:50:41
i=55 854.503 time 14:14, left 17:43:18
i=61 454.009 time 7:34, left 16:55:28
i=65 415.180 time 6:55, left 16:42:49
i=72 431.024 time 7:11, left 15:46:38
i=77 415.289 time 6:55, left 15:23:52
i=82 328.520 time 5:28, left 14:54:00
i=88 428.387 time 7:08, left 14:25:02
i=95 471.209 time 7:51, left 13:52:13
i=101 488.443 time 8:08, left 13:33:41
i=108 433.289 time 7:13, left 13:03:15
i=114 424.270 time 7:04, left 12:43:08
i=120 607.134 time 10:07, left 12:36:23
i=126 878.371 time 14:38, left 12:46:08
i=132 924.006 time 15:24, left 12:56:22
i=137 891.282 time 14:51, left 13:09:58
i=143 853.435 time 14:13, left 13:12:15
i=150 853.570 time 14:13, left 13:06:14
i=156 1179.068 time 19:39, left 13:21:32
i=162 666.162 time 11:06, left 13:11:20
i=168 859.750 time 14:19, left 13:09:18
i=175 1117.099 time 18:37, left 13:10:27
i=181 483.260 time 8:03, left 12:52:04
i=185 440.522 time 7:20, left 12:44:35
i=191 598.733 time 9:58, left 12:31:10
i=198 537.774 time 8:57, left 12:10:22
i=206 517.851 time 8:37, left 11:44:31
i=212 441.802 time 7:21, left 11:27:36
i=217 429.742 time 7:09, left 11:15:42
i=223 461.176 time 7:41, left 11:00:10
i=230 456.209 time 7:36, left 10:40:23
i=236 601.140 time 10:01, left 10:29:22
i=243 623.430 time 10:23, left 10:14:41
i=250 691.668 time 11:31, left 10:01:50
i=256 942.113 time 15:42, left 9:58:38
i=263 664.121 time 11:04, left 9:44:57
i=270 641.060 time 10:41, left 9:30:56
i=276 875.245 time 14:35, left 9:25:24
i=282 526.074 time 8:46, left 9:12:57
i=288 667.153 time 11:07, left 9:03:11
i=294 686.766 time 11:26, left 8:53:42
i=299 678.716 time 11:18, left 8:47:31
i=306 486.831 time 8:06, left 8:31:12
i=313 538.792 time 8:58, left 8:16:03
i=320 345.785 time 5:45, left 7:58:22
i=324 354.021 time 5:54, left 7:50:42
i=329 354.455 time 5:54, left 7:39:58
i=334 422.527 time 7:02, left 7:30:17
i=339 419.819 time 6:59, left 7:20:38
i=345 460.423 time 7:40, left 7:08:38
i=351 594.436 time 9:54, left 6:58:21
i=358 535.934 time 8:55, left 6:44:37
i=366 461.884 time 7:41, left 6:27:33
i=373 508.930 time 8:28, left 6:14:00
i=380 326.878 time 5:26, left 5:58:53
i=384 333.895 time 5:33, left 5:51:46
i=389 334.472 time 5:34, left 5:42:11
i=394 402.020 time 6:42, left 5:33:17
i=399 398.770 time 6:38, left 5:24:25
i=405 434.614 time 7:14, left 5:13:30
i=411 559.182 time 9:19, left 5:03:38
i=418 503.990 time 8:23, left 4:51:04
i=425 793.611 time 13:13, left 4:40:37
i=431 1220.631 time 20:20, left 4:35:05
i=438 1100.591 time 18:20, left 4:26:09
i=446 961.883 time 16:01, left 4:13:53
i=453 1045.778 time 17:25, left 4:04:08
i=460 664.806 time 11:04, left 3:52:15
i=464 685.777 time 11:25, left 3:46:56
i=469 684.861 time 11:24, left 3:39:22
i=474 904.844 time 15:04, left 3:32:41
i=479 892.562 time 14:52, left 3:25:46
i=487 346.464 time 5:46, left 3:10:13
i=493 546.238 time 9:06, left 2:59:48
i=499 443.407 time 7:23, left 2:49:04
i=505 460.313 time 7:40, left 2:38:27
i=511 563.647 time 9:23, left 2:28:13
i=518 524.766 time 8:44, left 2:15:57
i=526 525.185 time 8:45, left 2:01:53
i=532 462.977 time 7:42, left 1:51:34
i=537 444.797 time 7:24, left 1:43:08
i=543 625.144 time 10:25, left 1:33:12
i=550 694.647 time 11:34, left 1:21:33
i=556 949.123 time 15:49, left 1:12:00
i=563 665.552 time 11:05, left 1:00:15
i=570 642.234 time 10:42, left 48:29
i=576 878.062 time 14:38, left 38:38
i=582 529.053 time 8:49, left 28:31
i=588 670.760 time 11:10, left 18:28
i=594 689.470 time 11:29, left 8:24
i=599 646.993 time 10:46, left 0:00
