i=1 662.850 time 11:02, left 55:03:12
i=11 963.545 time 16:03, left 22:08:13
i=17 677.204 time 11:17, left 20:41:23
i=23 659.700 time 10:59, left 19:45:19
i=29 519.329 time 8:39, left 18:22:49
i=35 780.323 time 13:00, left 18:33:06
i=41 749.285 time 12:29, left 18:29:51
i=47 519.536 time 8:39, left 17:40:15
i=52 702.363 time 11:42, left 17:52:20
i=57 679.035 time 11:19, left 17:56:42
i=64 324.537 time 5:24, left 16:32:51
i=69 326.851 time 5:26, left 15:54:34
i=74 421.135 time 7:01, left 15:31:39
i=79 413.370 time 6:53, left 15:09:53
i=85 430.365 time 7:10, left 14:39:31
i=91 520.618 time 8:40, left 14:20:28
i=98 479.339 time 7:59, left 13:49:02
i=106 490.959 time 8:10, left 13:12:30
i=113 512.460 time 8:32, left 12:49:41
i=119 413.625 time 6:53, left 12:29:45
i=124 631.359 time 10:31, left 12:32:15
i=129 634.119 time 10:34, left 12:33:55
i=134 916.425 time 15:16, left 12:50:53
i=139 906.490 time 15:06, left 13:05:00
i=145 844.668 time 14:04, left 13:06:41
i=151 1184.553 time 19:44, left 13:23:50
i=158 1066.914 time 17:46, left 13:25:46
i=166 964.181 time 16:04, left 13:14:55
i=173 1143.711 time 19:03, left 13:17:16
i=180 330.859 time 5:30, left 12:46:36
i=182 337.139 time 5:37, left 12:47:25
i=186 488.919 time 8:08, left 12:41:47
i=193 544.568 time 9:04, left 12:20:51
i=199 442.033 time 7:22, left 12:02:44
i=205 458.802 time 7:38, left 11:45:47
i=211 561.758 time 9:21, left 11:32:30
i=218 512.819 time 8:32, left 11:13:09
i=226 522.625 time 8:42, left 10:50:06
i=232 461.913 time 7:41, left 10:35:18
i=237 443.714 time 7:23, left 10:24:43
i=242 490.513 time 8:10, left 10:15:26
i=247 501.460 time 8:21, left 10:06:26
i=253 839.951 time 13:59, left 10:01:05
i=260 511.190 time 8:31, left 9:44:12
i=264 524.254 time 8:44, left 9:39:38
i=269 524.967 time 8:44, left 9:31:06
i=274 644.249 time 10:44, left 9:24:55
i=279 638.442 time 10:38, left 9:18:27
i=285 666.736 time 11:06, left 9:08:41
i=291 953.365 time 15:53, left 9:03:54
i=298 842.410 time 14:02, left 8:53:14
i=308 436.198 time 7:16, left 8:25:40
i=315 538.433 time 8:58, left 8:10:39
i=321 510.950 time 8:30, left 7:58:41
i=327 349.422 time 5:49, left 7:44:37
i=332 437.570 time 7:17, left 7:35:04
i=337 426.280 time 7:06, left 7:25:27
i=343 458.298 time 7:38, left 7:13:20
i=350 451.613 time 7:31, left 6:58:25
i=356 594.396 time 9:54, left 6:48:13
i=363 411.566 time 6:51, left 6:33:17
i=370 425.711 time 7:05, left 6:18:48
i=376 555.732 time 9:15, left 6:08:29
i=382 329.916 time 5:29, left 5:56:04
i=388 429.885 time 7:09, left 5:44:46
i=395 471.800 time 7:51, left 5:31:29
i=401 486.784 time 8:06, left 5:20:56
i=408 432.390 time 7:12, left 5:07:39
i=414 424.042 time 7:04, left 4:56:50
i=420 607.026 time 10:07, left 4:47:25
i=426 879.669 time 14:39, left 4:39:49
i=432 923.526 time 15:23, left 4:32:18
i=437 882.212 time 14:42, left 4:26:34
i=443 859.084 time 14:19, left 4:18:16
i=450 842.686 time 14:02, left 4:07:29
i=456 1135.455 time 18:55, left 4:00:19
i=462 672.367 time 11:12, left 3:50:34
i=468 862.836 time 14:22, left 3:41:40
i=475 1091.408 time 18:11, left 3:31:28
i=481 484.691 time 8:04, left 3:20:43
i=486 490.959 time 8:10, left 3:12:08
i=492 460.325 time 7:40, left 3:01:23
i=497 443.643 time 7:23, left 2:52:41
i=502 350.851 time 5:50, left 2:43:43
i=507 351.539 time 5:51, left 2:34:48
i=513 515.257 time 8:35, left 2:24:27
i=519 435.598 time 7:15, left 2:13:57
i=525 464.325 time 7:44, left 2:03:34
i=531 603.074 time 10:03, left 1:53:33
i=538 542.678 time 9:02, left 1:41:34
i=546 705.387 time 11:45, left 1:28:06
i=552 710.207 time 11:50, left 1:18:17
i=557 677.282 time 11:17, left 1:10:10
i=562 520.757 time 8:40, left 1:01:50
i=568 664.327 time 11:04, left 51:52
i=575 764.859 time 12:44, left 40:12
i=581 761.584 time 12:41, left 30:14
i=587 528.508 time 8:48, left 20:07
i=592 709.420 time 11:49, left 11:47
i=597 671.566 time 11:11, left 3:22
