i=1 519.377 time 8:39, left 43:08:13
i=11 982.595 time 16:22, left 20:26:36
i=17 772.850 time 12:52, left 20:25:52
i=22 471.103 time 7:51, left 19:08:06
i=28 539.565 time 8:59, left 17:58:10
i=34 678.217 time 11:18, left 17:46:25
i=40 493.849 time 8:13, left 16:52:54
i=44 526.923 time 8:46, left 17:04:35
i=50 820.487 time 13:40, left 17:21:28
i=56 1037.468 time 17:17, left 18:06:23
i=63 339.636 time 5:39, left 16:42:29
i=68 326.448 time 5:26, left 16:03:02
i=74 510.749 time 8:30, left 15:35:34
i=80 331.077 time 5:31, left 14:51:44
i=84 323.857 time 5:23, left 14:35:55
i=89 323.743 time 5:23, left 14:09:48
i=95 499.627 time 8:19, left 13:51:02
i=101 370.857 time 6:10, left 13:23:01
i=107 303.885 time 5:03, left 12:52:20
i=113 519.370 time 8:39, left 12:39:40
i=119 490.790 time 8:10, left 12:25:29
i=125 593.774 time 9:53, left 12:18:21
i=131 1036.582 time 17:16, left 12:37:07
i=138 969.342 time 16:09, left 12:41:49
i=146 690.248 time 11:30, left 12:23:18
i=153 845.485 time 14:05, left 12:19:22
i=159 732.922 time 12:12, left 12:15:39
i=166 692.259 time 11:32, left 12:03:31
i=173 944.037 time 15:44, left 12:01:42
i=179 841.155 time 14:01, left 12:00:32
i=187 302.030 time 5:02, left 11:27:46
i=193 613.217 time 10:13, left 11:18:11
i=199 597.226 time 9:57, left 11:08:01
i=207 348.814 time 5:48, left 10:40:26
i=212 453.366 time 7:33, left 10:31:09
i=217 445.562 time 7:25, left 10:21:43
i=222 346.543 time 5:46, left 10:09:35
i=228 407.739 time 6:47, left 9:55:11
i=234 579.959 time 9:39, left 9:45:37
i=240 425.898 time 7:05, left 9:32:13
i=244 432.321 time 7:12, left 9:27:03
i=249 432.276 time 7:12, left 9:17:58
i=254 865.690 time 14:25, left 9:18:44
i=260 499.205 time 8:19, left 9:07:12
i=263 553.905 time 9:13, left 9:07:57
i=269 493.408 time 8:13, left 8:56:15
i=275 834.126 time 13:54, left 8:51:22
i=281 609.421 time 10:09, left 8:41:53
i=287 466.243 time 7:46, left 8:29:48
i=291 964.877 time 16:04, left 8:33:20
i=298 899.449 time 14:59, left 8:25:00
i=308 348.834 time 5:48, left 7:57:54
i=315 611.429 time 10:11, left 7:45:14
i=321 410.038 time 6:50, left 7:32:49
i=326 437.570 time 7:17, left 7:23:58
i=333 527.049 time 8:47, left 7:10:31
i=339 477.196 time 7:57, left 6:59:27
i=345 431.781 time 7:11, left 6:47:57
i=351 593.387 time 9:53, left 6:38:30
i=358 572.639 time 9:32, left 6:26:06
i=367 275.566 time 4:35, left 6:05:29
i=371 541.822 time 9:01, left 6:00:51
i=378 522.700 time 8:42, left 5:48:24
i=385 381.498 time 6:21, left 5:34:46
i=392 391.957 time 6:31, left 5:21:29
i=397 386.255 time 6:26, left 5:13:03
i=402 303.988 time 5:03, left 5:03:59
i=408 354.897 time 5:54, left 4:53:10
i=414 492.131 time 8:12, left 4:43:31
i=420 492.289 time 8:12, left 4:33:54
i=426 649.760 time 10:49, left 4:25:23
i=432 828.229 time 13:48, left 4:17:57
i=437 817.756 time 13:37, left 4:12:25
i=443 610.165 time 10:10, left 4:03:21
i=449 556.030 time 9:16, left 3:53:58
i=455 877.030 time 14:37, left 3:46:16
i=461 661.811 time 11:01, left 3:37:19
i=467 524.430 time 8:44, left 3:27:40
i=472 792.167 time 13:12, left 3:21:14
i=477 782.407 time 13:02, left 3:14:37
i=484 317.947 time 5:17, left 3:02:03
i=488 362.869 time 6:02, left 2:55:40
i=495 641.522 time 10:41, left 2:44:30
i=501 427.050 time 7:07, left 2:34:33
i=506 456.517 time 7:36, left 2:26:37
i=513 550.858 time 9:10, left 2:15:16
i=519 500.625 time 8:20, left 2:05:39
i=526 460.892 time 7:40, left 1:54:12
i=532 537.493 time 8:57, left 1:44:46
i=537 526.342 time 8:46, left 1:37:03
i=542 405.349 time 6:45, left 1:29:07
i=548 497.047 time 8:17, left 1:19:38
i=555 986.840 time 16:26, left 1:09:08
i=561 604.235 time 10:04, left 59:45
i=565 603.213 time 10:03, left 53:41
i=572 635.787 time 10:35, left 42:37
i=577 625.641 time 10:25, left 34:49
i=582 469.209 time 7:49, left 26:54
i=588 556.507 time 9:16, left 17:24
i=594 823.589 time 13:43, left 7:56
i=599 716.120 time 11:56, left 0:00
