i=2 386.473 time 6:26, left 21:21:48
i=6 574.165 time 9:34, left 22:36:19
i=15 972.776 time 16:12, left 19:36:09
i=21 592.947 time 9:52, left 18:26:14
i=26 635.918 time 10:35, left 18:38:30
i=33 775.936 time 12:55, left 18:12:39
i=39 674.530 time 11:14, left 17:56:18
i=45 639.262 time 10:39, left 17:34:12
i=52 833.284 time 13:53, left 17:26:44
i=57 957.255 time 15:57, left 18:16:51
i=66 370.247 time 6:10, left 16:22:50
i=72 471.944 time 7:51, left 15:48:41
i=77 465.218 time 7:45, left 15:31:20
i=83 353.860 time 5:53, left 14:51:06
i=90 430.109 time 7:10, left 14:11:29
i=96 501.762 time 8:21, left 13:52:46
i=103 355.687 time 5:55, left 13:14:11
i=109 322.293 time 5:22, left 12:45:42
i=115 543.370 time 9:03, left 12:35:00
i=121 597.120 time 9:57, left 12:27:57
i=127 460.612 time 7:40, left 12:12:15
i=133 970.787 time 16:10, left 12:26:50
i=139 878.517 time 14:38, left 12:33:44
i=145 645.126 time 10:45, left 12:26:46
i=152 670.963 time 11:10, left 12:14:17
i=157 665.653 time 11:05, left 12:14:08
i=162 514.146 time 8:34, left 12:06:32
i=168 604.131 time 10:04, left 11:56:48
i=174 844.821 time 14:04, left 11:56:47
i=180 311.034 time 5:11, left 11:35:14
i=182 297.561 time 4:57, left 11:35:39
i=186 416.185 time 6:56, left 11:29:34
i=192 551.575 time 9:11, left 11:17:48
i=197 541.851 time 9:01, left 11:10:55
i=202 350.661 time 5:50, left 10:57:40
i=208 403.411 time 6:43, left 10:41:43
i=214 504.033 time 8:24, left 10:29:17
i=220 375.491 time 6:15, left 10:13:23
i=224 367.025 time 6:07, left 10:06:19
i=230 581.608 time 9:41, left 9:56:36
i=236 642.956 time 10:42, left 9:48:27
i=243 495.761 time 8:15, left 9:32:37
i=250 844.369 time 14:04, left 9:25:16
i=256 1023.589 time 17:03, left 9:25:20
i=264 492.010 time 8:12, left 9:05:51
i=270 689.049 time 11:29, left 8:58:09
i=276 863.418 time 14:23, left 8:53:40
i=283 556.806 time 9:16, left 8:39:34
i=290 818.086 time 13:38, left 8:30:19
i=296 996.110 time 16:36, left 8:27:14
i=305 386.144 time 6:26, left 8:03:52
i=311 604.848 time 10:04, left 7:54:11
i=318 584.183 time 9:44, left 7:41:05
i=325 424.374 time 7:04, left 7:25:53
i=331 527.485 time 8:47, left 7:15:20
i=338 518.823 time 8:38, left 7:01:52
i=344 359.872 time 5:59, left 6:49:26
i=350 554.178 time 9:14, left 6:39:31
i=356 613.118 time 10:13, left 6:30:18
i=364 288.083 time 4:48, left 6:12:16
i=369 288.397 time 4:48, left 6:02:24
i=375 545.154 time 9:05, left 5:52:44
i=381 366.725 time 6:06, left 5:41:23
i=387 308.612 time 5:08, left 5:29:40
i=391 476.482 time 7:56, left 5:24:21
i=398 469.005 time 7:49, left 5:11:53
i=404 321.972 time 5:21, left 5:00:40
i=410 492.526 time 8:12, left 4:50:56
i=416 555.046 time 9:15, left 4:41:42
i=423 561.194 time 9:21, left 4:30:20
i=430 874.793 time 14:34, left 4:21:05
i=436 1064.701 time 17:44, left 4:14:59
i=444 552.510 time 9:12, left 4:01:19
i=450 732.353 time 12:12, left 3:52:55
i=456 910.517 time 15:10, left 3:45:21
i=462 523.748 time 8:43, left 3:35:41
i=468 612.403 time 10:12, left 3:26:27
i=474 851.523 time 14:11, left 3:18:14
i=480 311.566 time 5:11, left 3:07:39
i=482 299.715 time 4:59, left 3:04:57
i=485 402.731 time 6:42, left 3:00:40
i=491 636.431 time 10:36, left 2:51:24
i=498 611.823 time 10:11, left 2:40:06
i=505 442.953 time 7:22, left 2:28:19
i=512 455.083 time 7:35, left 2:16:41
i=517 445.862 time 7:25, left 2:08:46
i=522 348.601 time 5:48, left 2:00:36
i=528 409.456 time 6:49, left 1:50:52
i=534 580.076 time 9:40, left 1:41:32
i=540 426.224 time 7:06, left 1:31:55
i=543 495.240 time 8:15, left 1:27:36
i=550 840.355 time 14:00, left 1:16:55
i=556 1022.766 time 17:02, left 1:08:06
i=564 491.429 time 8:11, left 55:09
i=570 687.493 time 11:27, left 45:48
i=576 862.476 time 14:22, left 36:31
i=583 555.744 time 9:15, left 25:21
i=590 816.529 time 13:36, left 14:18
i=596 941.916 time 15:41, left 4:47
