i=4 473.031 time 7:53, left 15:38:10
i=8 621.808 time 10:21, left 19:58:14
i=14 692.483 time 11:32, left 19:21:45
i=19 684.589 time 11:24, left 19:54:45
i=25 655.389 time 10:55, left 19:10:41
i=31 900.090 time 15:00, left 19:51:26
i=38 803.227 time 13:23, left 19:18:06
i=46 756.239 time 12:36, left 18:15:34
i=53 865.415 time 14:25, left 18:07:19
i=60 310.885 time 5:10, left 16:35:59
i=62 317.260 time 5:17, left 16:45:52
i=67 323.480 time 5:23, left 16:05:24
i=71 555.001 time 9:15, left 16:12:45
i=78 500.102 time 8:20, left 15:29:46
i=86 483.333 time 8:03, left 14:38:48
i=93 478.320 time 7:58, left 14:05:11
i=100 332.261 time 5:32, left 13:23:05
i=104 338.301 time 5:38, left 13:12:52
i=109 337.717 time 5:37, left 12:54:16
i=115 510.971 time 8:30, left 12:40:45
i=121 868.158 time 14:28, left 12:51:04
i=128 794.568 time 13:14, left 12:46:54
i=135 1114.115 time 18:34, left 12:59:58
i=141 952.106 time 15:52, left 13:08:32
i=147 660.466 time 11:00, left 13:00:16
i=152 882.277 time 14:42, left 13:09:23
i=157 860.694 time 14:20, left 13:15:59
i=163 860.059 time 14:20, left 13:14:33
i=170 921.112 time 15:21, left 13:08:19
i=176 1261.362 time 21:01, left 13:21:11
i=183 435.676 time 7:15, left 12:54:21
i=190 455.953 time 7:35, left 12:29:42
i=196 598.336 time 9:58, left 12:16:36
i=203 457.041 time 7:37, left 11:53:45
i=210 427.139 time 7:07, left 11:31:00
i=216 558.977 time 9:18, left 11:17:59
i=222 355.098 time 5:55, left 10:59:24
i=227 353.703 time 5:53, left 10:46:01
i=233 549.883 time 9:09, left 10:33:38
i=239 442.123 time 7:22, left 10:18:43
i=244 498.916 time 8:18, left 10:09:43
i=249 502.340 time 8:22, left 10:00:50
i=254 682.466 time 11:22, left 9:56:01
i=259 672.510 time 11:12, left 9:50:44
i=265 662.189 time 11:02, left 9:41:05
i=271 881.890 time 14:41, left 9:35:47
i=278 780.466 time 13:00, left 9:24:19
i=286 763.056 time 12:43, left 9:08:47
i=293 850.900 time 14:10, left 8:58:30
i=300 328.493 time 5:28, left 8:39:23
i=302 336.549 time 5:36, left 8:38:00
i=307 343.282 time 5:43, left 8:26:26
i=312 454.422 time 7:34, left 8:16:46
i=317 436.775 time 7:16, left 8:06:53
i=322 348.724 time 5:48, left 7:55:50
i=328 454.597 time 7:34, left 7:43:17
i=335 500.380 time 8:20, left 7:28:28
i=341 516.159 time 8:36, left 7:17:04
i=348 457.739 time 7:37, left 7:02:10
i=354 446.620 time 7:26, left 6:50:15
i=359 437.865 time 7:17, left 6:41:10
i=365 416.874 time 6:56, left 6:29:10
i=371 554.978 time 9:14, left 6:18:44
i=379 414.770 time 6:54, left 6:01:45
i=385 431.162 time 7:11, left 5:50:24
i=391 520.687 time 8:40, left 5:39:58
i=397 403.894 time 6:43, left 5:28:36
i=403 432.381 time 7:12, left 5:17:36
i=410 428.208 time 7:08, left 5:04:19
i=416 557.914 time 9:17, left 4:54:30
i=422 617.470 time 10:17, left 4:45:07
i=427 629.223 time 10:29, left 4:38:02
i=433 1112.960 time 18:32, left 4:31:43
i=440 657.419 time 10:57, left 4:20:05
i=444 678.689 time 11:18, left 4:15:12
i=449 680.512 time 11:20, left 4:08:00
i=454 854.841 time 14:14, left 4:01:39
i=459 846.550 time 14:06, left 3:55:04
i=465 855.144 time 14:15, left 3:46:12
i=471 1226.520 time 20:26, left 3:38:52
i=478 1108.983 time 18:28, left 3:28:32
i=489 347.848 time 5:47, left 3:06:38
i=494 450.893 time 7:30, left 2:57:56
i=500 347.064 time 5:47, left 2:46:54
i=504 355.327 time 5:55, left 2:40:00
i=509 355.584 time 5:55, left 2:31:08
i=514 428.794 time 7:08, left 2:22:32
i=520 359.494 time 5:59, left 2:11:52
i=524 360.106 time 6:00, left 2:05:05
i=529 359.313 time 5:59, left 1:56:26
i=534 452.526 time 7:32, left 1:48:01
i=539 442.566 time 7:22, left 1:39:37
i=544 500.446 time 8:20, left 1:31:19
i=549 504.907 time 8:24, left 1:23:01
i=554 688.470 time 11:28, left 1:14:58
i=559 672.947 time 11:12, left 1:06:51
i=565 665.408 time 11:05, left 56:53
i=571 885.427 time 14:45, left 47:05
i=578 784.702 time 13:04, left 35:21
i=586 767.150 time 12:47, left 21:52
i=593 855.891 time 14:15, left 10:07
