i=5 10.304 time 0:10, left 17:00
i=6 10.911 time 0:10, left 29:57
i=12 11.210 time 0:11, left 24:24
i=18 11.165 time 0:11, left 22:12
i=24 11.581 time 0:11, left 21:08
i=32 11.622 time 0:11, left 19:07
i=38 11.542 time 0:11, left 18:46
i=43 11.370 time 0:11, left 18:53
i=48 11.469 time 0:11, left 18:57
i=54 11.769 time 0:11, left 18:39
i=60 11.769 time 0:11, left 18:21
i=66 11.627 time 0:11, left 18:04
i=72 11.916 time 0:11, left 17:50
i=78 11.755 time 0:11, left 17:35
i=84 12.031 time 0:12, left 17:22
i=91 11.847 time 0:11, left 16:55
i=97 12.085 time 0:12, left 16:43
i=104 12.145 time 0:12, left 16:21
i=110 11.777 time 0:11, left 16:08
i=115 11.752 time 0:11, left 16:06
i=121 11.952 time 0:11, left 15:54
i=126 12.451 time 0:12, left 15:53
i=133 12.062 time 0:12, left 15:32
i=138 12.115 time 0:12, left 15:29
i=144 12.620 time 0:12, left 15:18
i=151 12.966 time 0:12, left 15:01
i=157 13.263 time 0:13, left 14:52
i=163 12.860 time 0:12, left 14:42
i=168 12.974 time 0:12, left 14:39
i=174 13.226 time 0:13, left 14:29
i=180 13.092 time 0:13, left 14:19
i=186 12.875 time 0:12, left 14:08
i=192 13.168 time 0:13, left 13:57
i=198 12.914 time 0:12, left 13:46
i=204 13.248 time 0:13, left 13:35
i=211 13.039 time 0:13, left 13:18
i=217 13.199 time 0:13, left 13:07
i=223 12.757 time 0:12, left 12:56
i=228 12.942 time 0:12, left 12:50
i=234 13.068 time 0:13, left 12:38
i=240 13.156 time 0:13, left 12:27
i=246 12.877 time 0:12, left 12:15
i=252 13.222 time 0:13, left 12:03
i=258 12.976 time 0:12, left 11:51
i=264 13.307 time 0:13, left 11:40
i=271 13.159 time 0:13, left 11:23
i=277 13.213 time 0:13, left 11:12
i=283 12.829 time 0:12, left 11:00
i=288 12.875 time 0:12, left 10:52
i=294 13.066 time 0:13, left 10:40
i=300 12.997 time 0:12, left 10:27
i=307 13.024 time 0:13, left 10:11
i=313 12.672 time 0:12, left 9:59
i=319 12.886 time 0:12, left 9:46
i=325 12.391 time 0:12, left 9:34
i=330 12.770 time 0:12, left 9:25
i=336 12.914 time 0:12, left 9:13
i=342 13.157 time 0:13, left 9:00
i=349 13.139 time 0:13, left 8:45
i=355 12.734 time 0:12, left 8:32
i=361 12.729 time 0:12, left 8:20
i=367 13.257 time 0:13, left 8:07
i=373 12.846 time 0:12, left 7:55
i=379 12.955 time 0:12, left 7:42
i=385 12.623 time 0:12, left 7:30
i=391 12.951 time 0:12, left 7:17
i=397 13.117 time 0:13, left 7:05
i=403 12.730 time 0:12, left 6:52
i=408 12.726 time 0:12, left 6:43
i=414 12.982 time 0:12, left 6:30
i=420 13.156 time 0:13, left 6:18
i=426 12.912 time 0:12, left 6:05
i=432 13.245 time 0:13, left 5:53
i=438 12.978 time 0:12, left 5:40
i=444 13.325 time 0:13, left 5:28
i=451 13.116 time 0:13, left 5:12
i=457 13.267 time 0:13, left 5:00
i=463 12.876 time 0:12, left 4:47
i=468 12.854 time 0:12, left 4:37
i=474 13.148 time 0:13, left 4:25
i=480 13.008 time 0:13, left 4:12
i=486 12.712 time 0:12, left 3:59
i=492 13.080 time 0:13, left 3:47
i=498 12.857 time 0:12, left 3:34
i=504 13.190 time 0:13, left 3:21
i=511 12.974 time 0:12, left 3:06
i=517 13.176 time 0:13, left 2:53
i=523 12.742 time 0:12, left 2:41
i=528 12.722 time 0:12, left 2:30
i=534 13.045 time 0:13, left 2:18
i=540 13.072 time 0:13, left 2:05
i=546 12.857 time 0:12, left 1:52
i=552 13.397 time 0:13, left 1:39
i=558 13.037 time 0:13, left 1:27
i=564 13.680 time 0:13, left 1:14
i=570 13.207 time 0:13, left 1:01
i=576 13.171 time 0:13, left 0:49
i=582 13.376 time 0:13, left 0:36
i=588 12.950 time 0:12, left 0:23
i=594 13.157 time 0:13, left 0:10
