i=1 10.799 time 0:10, left 53:48
i=8 10.752 time 0:10, left 23:35
i=13 11.006 time 0:11, left 22:42
i=19 11.346 time 0:11, left 21:13
i=25 11.066 time 0:11, left 20:13
i=30 11.472 time 0:11, left 20:19
i=36 11.598 time 0:11, left 19:47
i=42 11.904 time 0:11, left 19:25
i=49 11.958 time 0:11, left 18:40
i=56 11.718 time 0:11, left 18:02
i=62 11.953 time 0:11, left 17:50
i=69 11.986 time 0:11, left 17:21
i=75 11.652 time 0:11, left 17:08
i=81 11.667 time 0:11, left 16:56
i=87 12.101 time 0:12, left 16:46
i=93 11.800 time 0:11, left 16:34
i=99 11.961 time 0:11, left 16:23
i=105 11.645 time 0:11, left 16:11
i=111 11.949 time 0:11, left 16:00
i=117 12.080 time 0:12, left 15:49
i=123 11.922 time 0:11, left 15:37
i=128 11.894 time 0:11, left 15:35
i=132 12.365 time 0:12, left 15:43
i=139 12.228 time 0:12, left 15:22
i=145 12.039 time 0:12, left 15:10
i=150 12.841 time 0:12, left 15:09
i=156 13.120 time 0:13, left 14:59
i=162 13.455 time 0:13, left 14:50
i=169 13.471 time 0:13, left 14:34
i=176 13.168 time 0:13, left 14:17
i=182 13.243 time 0:13, left 14:08
i=188 12.741 time 0:12, left 13:57
i=194 13.111 time 0:13, left 13:46
i=200 13.091 time 0:13, left 13:36
i=206 12.802 time 0:12, left 13:24
i=212 13.187 time 0:13, left 13:14
i=218 12.955 time 0:12, left 13:02
i=224 13.249 time 0:13, left 12:52
i=231 13.101 time 0:13, left 12:35
i=237 13.116 time 0:13, left 12:24
i=243 12.786 time 0:12, left 12:12
i=248 12.823 time 0:12, left 12:06
i=254 13.105 time 0:13, left 11:54
i=260 13.156 time 0:13, left 11:43
i=266 12.949 time 0:12, left 11:31
i=272 13.232 time 0:13, left 11:19
i=278 12.984 time 0:12, left 11:07
i=284 13.395 time 0:13, left 10:56
i=291 13.312 time 0:13, left 10:40
i=297 13.292 time 0:13, left 10:28
i=303 12.621 time 0:12, left 10:16
i=309 12.974 time 0:12, left 10:04
i=315 12.607 time 0:12, left 9:52
i=321 12.682 time 0:12, left 9:39
i=327 13.134 time 0:13, left 9:27
i=333 12.787 time 0:12, left 9:15
i=339 12.925 time 0:12, left 9:03
i=345 12.449 time 0:12, left 8:50
i=350 12.718 time 0:12, left 8:41
i=356 12.966 time 0:12, left 8:29
i=362 13.260 time 0:13, left 8:17
i=369 13.187 time 0:13, left 8:01
i=375 12.869 time 0:12, left 7:49
i=381 12.860 time 0:12, left 7:36
i=387 13.255 time 0:13, left 7:24
i=394 13.005 time 0:13, left 7:09
i=400 13.196 time 0:13, left 6:56
i=406 12.860 time 0:12, left 6:44
i=412 13.172 time 0:13, left 6:32
i=418 12.888 time 0:12, left 6:19
i=424 13.316 time 0:13, left 6:07
i=430 12.973 time 0:12, left 5:54
i=436 13.173 time 0:13, left 5:42
i=442 13.357 time 0:13, left 5:30
i=448 12.812 time 0:12, left 5:17
i=454 13.174 time 0:13, left 5:05
i=460 13.231 time 0:13, left 4:52
i=466 13.015 time 0:13, left 4:40
i=472 13.328 time 0:13, left 4:27
i=478 13.052 time 0:13, left 4:15
i=484 13.214 time 0:13, left 4:02
i=491 12.959 time 0:12, left 3:47
i=497 13.197 time 0:13, left 3:35
i=503 12.730 time 0:12, left 3:22
i=509 13.208 time 0:13, left 3:09
i=515 12.882 time 0:12, left 2:57
i=521 12.891 time 0:12, left 2:44
i=527 13.326 time 0:13, left 2:32
i=533 12.907 time 0:12, left 2:19
i=539 13.031 time 0:13, left 2:06
i=545 12.677 time 0:12, left 1:54
i=551 13.116 time 0:13, left 1:41
i=557 13.303 time 0:13, left 1:28
i=563 12.796 time 0:12, left 1:16
i=569 13.620 time 0:13, left 1:03
i=575 13.118 time 0:13, left 0:50
i=581 13.030 time 0:13, left 0:38
i=587 13.472 time 0:13, left 0:25
i=593 13.103 time 0:13, left 0:12
i=599 12.510 time 0:12, left 0:00
