i=5 176.314 time 2:56, left 29:20:12
i=11 194.796 time 3:14, left 30:49:21
i=17 162.397 time 2:42, left 29:29:27
i=22 126.912 time 2:06, left 28:31:49
i=27 127.640 time 2:07, left 27:55:33
i=31 187.270 time 3:07, left 30:12:29
i=37 162.088 time 2:42, left 29:36:57
i=43 180.256 time 3:00, left 29:34:51
i=50 173.827 time 2:53, left 28:49:50
i=56 194.167 time 3:14, left 29:06:17
i=63 170.966 time 2:50, left 28:29:38
i=69 132.814 time 2:12, left 27:52:04
i=75 195.200 time 3:15, left 28:08:18
i=81 178.397 time 2:58, left 28:09:40
i=88 177.519 time 2:57, left 27:50:23
i=95 192.447 time 3:12, left 27:42:34
i=101 177.681 time 2:57, left 27:43:39
i=108 177.811 time 2:57, left 27:28:37
i=114 167.061 time 2:47, left 27:24:17
i=120 135.569 time 2:15, left 27:05:02
i=126 177.336 time 2:57, left 27:06:24
i=133 192.568 time 3:12, left 27:01:21
i=139 172.737 time 2:52, left 27:00:20
i=144 138.735 time 2:18, left 26:57:18
i=150 174.318 time 2:54, left 26:56:42
i=156 189.164 time 3:09, left 27:01:20
i=162 126.339 time 2:06, left 26:43:20
i=167 127.926 time 2:07, left 26:36:55
i=172 159.460 time 2:39, left 26:41:09
i=177 161.136 time 2:41, left 26:45:32
i=183 172.315 time 2:52, left 26:43:46
i=189 133.488 time 2:13, left 26:30:19
i=195 195.411 time 3:15, left 26:35:29
i=201 178.289 time 2:58, left 26:35:21
i=208 177.009 time 2:57, left 26:26:37
i=214 167.547 time 2:47, left 26:23:34
i=220 137.403 time 2:17, left 26:12:52
i=226 180.091 time 3:00, left 26:13:10
i=233 187.493 time 3:07, left 26:07:53
i=239 167.896 time 2:47, left 26:05:09
i=244 135.221 time 2:15, left 26:01:47
i=250 173.952 time 2:53, left 26:00:24
i=256 194.852 time 3:14, left 26:03:29
i=263 179.375 time 2:59, left 25:56:37
i=269 140.029 time 2:20, left 25:48:05
i=275 196.211 time 3:16, left 25:51:05
i=281 182.244 time 3:02, left 25:51:04
i=288 181.284 time 3:01, left 25:44:56
i=294 170.987 time 2:50, left 25:42:41
i=300 132.677 time 2:12, left 25:33:26
i=305 175.654 time 2:55, left 25:37:36
i=311 187.817 time 3:07, left 25:38:16
i=319 168.044 time 2:48, left 25:24:52
i=324 135.818 time 2:15, left 25:21:56
i=330 169.910 time 2:49, left 25:19:35
i=336 184.680 time 3:04, left 25:19:35
i=342 123.555 time 2:03, left 25:09:49
i=347 124.691 time 2:04, left 25:05:15
i=351 187.794 time 3:07, left 25:15:12
i=358 189.195 time 3:09, left 25:10:55
i=366 150.214 time 2:30, left 24:56:23
i=373 162.626 time 2:42, left 24:48:35
i=379 146.667 time 2:26, left 24:43:04
i=386 152.980 time 2:32, left 24:34:15
i=392 137.037 time 2:17, left 24:27:40
i=397 138.186 time 2:18, left 24:25:30
i=403 154.922 time 2:34, left 24:21:27
i=410 147.344 time 2:27, left 24:12:28
i=416 160.131 time 2:40, left 24:09:15
i=422 102.668 time 1:42, left 23:58:51
i=427 103.660 time 1:43, left 23:52:36
i=433 157.731 time 2:37, left 23:49:18
i=439 142.686 time 2:22, left 23:44:13
i=444 114.061 time 1:54, left 23:39:28
i=450 144.150 time 2:24, left 23:34:42
i=456 150.877 time 2:30, left 23:30:45
i=462 104.036 time 1:44, left 23:21:34
i=467 105.100 time 1:45, left 23:16:06
i=472 132.262 time 2:12, left 23:13:43
i=477 133.498 time 2:13, left 23:11:28
i=483 150.832 time 2:30, left 23:07:45
i=489 115.683 time 1:55, left 23:00:22
i=494 145.364 time 2:25, left 22:59:25
i=500 116.850 time 1:56, left 22:52:19
i=506 152.698 time 2:32, left 22:48:58
i=513 159.628 time 2:39, left 22:43:15
i=519 146.406 time 2:26, left 22:39:21
i=525 158.854 time 2:38, left 22:36:42
i=532 136.362 time 2:16, left 22:28:54
