i=2 11.149 time 0:11, left 36:58
i=11 10.979 time 0:10, left 18:04
i=17 11.259 time 0:11, left 17:59
i=23 11.003 time 0:11, left 17:45
i=29 11.568 time 0:11, left 17:43
i=35 11.430 time 0:11, left 17:35
i=41 11.438 time 0:11, left 17:27
i=47 11.875 time 0:11, left 17:23
i=53 11.585 time 0:11, left 17:14
i=59 11.786 time 0:11, left 17:06
i=65 11.381 time 0:11, left 16:55
i=71 11.754 time 0:11, left 16:46
i=77 11.954 time 0:11, left 16:38
i=83 11.589 time 0:11, left 16:27
i=89 12.013 time 0:12, left 16:18
i=95 11.723 time 0:11, left 16:08
i=101 11.797 time 0:11, left 15:58
i=107 12.185 time 0:12, left 15:49
i=113 11.844 time 0:11, left 15:39
i=119 11.974 time 0:11, left 15:29
i=125 12.201 time 0:12, left 15:19
i=131 12.172 time 0:12, left 15:09
i=137 12.252 time 0:12, left 15:00
i=143 11.812 time 0:11, left 14:48
i=149 12.682 time 0:12, left 14:40
i=155 12.775 time 0:12, left 14:31
i=161 12.911 time 0:12, left 14:22
i=167 13.346 time 0:13, left 14:14
i=173 12.915 time 0:12, left 14:05
i=179 13.132 time 0:13, left 13:56
i=185 12.521 time 0:12, left 13:45
i=191 12.975 time 0:12, left 13:35
i=197 13.060 time 0:13, left 13:26
i=203 12.617 time 0:12, left 13:15
i=209 13.137 time 0:13, left 13:05
i=215 12.758 time 0:12, left 12:54
i=221 12.774 time 0:12, left 12:43
i=227 13.242 time 0:13, left 12:33
i=233 13.046 time 0:13, left 12:22
i=239 13.013 time 0:13, left 12:11
i=245 12.634 time 0:12, left 11:59
i=250 13.033 time 0:13, left 11:53
i=256 12.993 time 0:12, left 11:42
i=262 13.263 time 0:13, left 11:31
i=269 13.245 time 0:13, left 11:15
i=275 12.941 time 0:12, left 11:04
i=281 12.897 time 0:12, left 10:52
i=287 13.359 time 0:13, left 10:41
i=293 12.973 time 0:12, left 10:29
i=299 13.110 time 0:13, left 10:18
i=305 12.385 time 0:12, left 10:05
i=311 12.779 time 0:12, left 9:53
i=317 12.945 time 0:12, left 9:41
i=323 12.611 time 0:12, left 9:29
i=329 13.014 time 0:13, left 9:17
i=335 12.695 time 0:12, left 9:05
i=341 12.708 time 0:12, left 8:53
i=347 13.135 time 0:13, left 8:41
i=353 12.674 time 0:12, left 8:29
i=359 12.867 time 0:12, left 8:17
i=365 12.636 time 0:12, left 8:04
i=371 12.927 time 0:12, left 7:52
i=377 13.118 time 0:13, left 7:40
i=383 12.624 time 0:12, left 7:28
i=389 13.161 time 0:13, left 7:16
i=395 12.772 time 0:12, left 7:04
i=401 12.858 time 0:12, left 6:51
i=407 13.232 time 0:13, left 6:39
i=413 12.804 time 0:12, left 6:27
i=419 12.950 time 0:12, left 6:14
i=425 12.630 time 0:12, left 6:02
i=431 13.108 time 0:13, left 5:50
i=437 13.262 time 0:13, left 5:38
i=443 12.853 time 0:12, left 5:25
i=449 13.348 time 0:13, left 5:13
i=455 12.955 time 0:12, left 5:00
i=461 12.996 time 0:12, left 4:48
i=467 13.412 time 0:13, left 4:36
i=473 13.027 time 0:13, left 4:23
i=479 13.159 time 0:13, left 4:11
i=485 12.592 time 0:12, left 3:58
i=490 12.829 time 0:12, left 3:48
i=496 13.024 time 0:13, left 3:36
i=502 13.185 time 0:13, left 3:23
i=508 12.635 time 0:12, left 3:11
i=514 13.007 time 0:13, left 2:58
i=520 13.056 time 0:13, left 2:46
i=526 12.840 time 0:12, left 2:33
i=532 13.127 time 0:13, left 2:21
i=538 12.879 time 0:12, left 2:08
i=544 13.211 time 0:13, left 1:55
i=550 13.072 time 0:13, left 1:43
i=556 12.959 time 0:12, left 1:30
i=562 13.163 time 0:13, left 1:18
i=568 13.195 time 0:13, left 1:05
i=574 13.136 time 0:13, left 0:52
i=580 13.146 time 0:13, left 0:40
i=586 12.961 time 0:12, left 0:27
i=592 13.170 time 0:13, left 0:14
i=598 12.328 time 0:12, left 0:02
