i=1 151.947 time 2:31, left 12:37:12
i=11 160.981 time 2:40, left 4:15:33
i=17 131.561 time 2:11, left 3:59:31
i=23 163.592 time 2:43, left 4:03:13
i=30 135.575 time 2:15, left 3:47:29
i=35 158.074 time 2:38, left 3:55:27
i=41 183.589 time 3:03, left 4:00:19
i=49 116.477 time 1:56, left 3:40:19
i=54 136.635 time 2:16, left 3:41:02
i=60 71.679 time 1:11, left 3:27:39
i=63 106.751 time 1:46, left 3:31:43
i=70 100.790 time 1:40, left 3:20:52
i=76 124.458 time 2:04, left 3:17:12
i=82 68.477 time 1:08, left 3:07:57
i=87 69.075 time 1:09, left 3:02:16
i=91 116.769 time 1:56, left 3:03:43
i=98 115.978 time 1:55, left 2:58:10
i=104 76.367 time 1:16, left 2:51:58
i=108 113.829 time 1:53, left 2:52:52
i=115 119.171 time 1:59, left 2:48:24
i=121 203.369 time 3:23, left 2:51:25
i=130 155.863 time 2:35, left 2:45:56
i=136 195.486 time 3:15, left 2:47:39
i=143 192.781 time 3:12, left 2:47:16
i=148 193.277 time 3:13, left 2:49:37
i=156 188.833 time 3:08, left 2:47:00
i=163 193.831 time 3:13, left 2:45:56
i=170 156.307 time 2:36, left 2:43:08
i=175 188.706 time 3:08, left 2:44:13
i=181 124.261 time 2:04, left 2:41:19
i=189 75.242 time 1:15, left 2:34:16
i=193 121.321 time 2:01, left 2:33:51
i=200 77.620 time 1:17, left 2:28:30
i=204 78.523 time 1:18, left 2:26:40
i=209 78.697 time 1:18, left 2:23:48
i=213 118.815 time 1:58, left 2:23:14
i=220 78.211 time 1:18, left 2:18:25
i=225 118.578 time 1:58, left 2:16:50
i=232 98.706 time 1:38, left 2:12:50
i=237 99.214 time 1:39, left 2:10:47
i=242 102.901 time 1:42, left 2:08:51
i=247 104.314 time 1:44, left 2:06:57
i=251 165.434 time 2:45, left 2:07:19
i=258 159.484 time 2:39, left 2:04:53
i=264 117.647 time 1:57, left 2:02:23
i=268 164.403 time 2:44, left 2:02:30
i=276 161.078 time 2:41, left 1:59:13
i=283 165.193 time 2:45, left 1:56:49
i=290 135.687 time 2:15, left 1:53:53
i=295 160.920 time 2:40, left 1:52:54
i=301 123.769 time 2:03, left 1:50:31
i=309 75.208 time 1:15, left 1:45:57
i=313 120.276 time 2:00, left 1:44:59
i=320 77.347 time 1:17, left 1:41:18
i=324 78.082 time 1:18, left 1:39:43
i=329 78.357 time 1:18, left 1:37:29
i=334 102.675 time 1:42, left 1:35:36
i=339 103.708 time 1:43, left 1:33:45
i=346 134.080 time 2:14, left 1:31:00
i=353 120.836 time 2:00, left 1:28:08
i=359 105.023 time 1:45, left 1:25:43
i=366 122.769 time 2:02, left 1:22:56
i=373 118.517 time 1:58, left 1:20:08
i=380 75.537 time 1:15, left 1:16:57
i=384 76.218 time 1:16, left 1:15:28
i=388 113.509 time 1:53, left 1:14:19
i=396 118.346 time 1:58, left 1:11:04
i=402 68.958 time 1:08, left 1:08:30
i=407 69.307 time 1:09, left 1:06:30
i=411 123.793 time 2:03, left 1:05:25
i=423 165.410 time 2:45, left 1:20:52
i=428 179.452 time 2:59, left 1:29:21
i=435 192.805 time 3:12, left 1:21:38
i=441 219.368 time 3:39, left 1:23:03
i=448 196.902 time 3:16, left 1:17:26
i=456 190.857 time 3:10, left 1:09:57
i=463 196.874 time 3:16, left 1:06:06
i=469 140.983 time 2:20, left 1:01:46
i=474 159.901 time 2:39, left 1:00:02
i=480 75.178 time 1:15, left 54:04
i=483 111.613 time 1:51, left 53:35
i=490 105.387 time 1:45, left 48:08
i=496 129.996 time 2:09, left 44:51
i=502 72.189 time 1:12, left 40:38
i=507 72.366 time 1:12, left 37:38
i=511 123.534 time 2:03, left 36:23
i=518 120.829 time 2:00, left 32:47
i=524 80.261 time 1:20, left 29:36
i=528 118.914 time 1:58, left 28:16
i=535 124.720 time 2:04, left 25:06
i=541 178.589 time 2:58, left 23:02
i=550 139.027 time 2:19, left 19:00
i=555 164.957 time 2:44, left 17:19
i=561 190.130 time 3:10, left 15:10
i=568 168.606 time 2:48, left 12:22
i=576 164.719 time 2:44, left 9:07
i=583 168.007 time 2:48, left 6:20
i=590 137.501 time 2:17, left 3:32
i=595 161.115 time 2:41, left 1:35
