i=4 412.605 time 6:52, left 13:38:19
i=8 478.460 time 7:58, left 16:15:13
i=13 916.843 time 15:16, left 21:01:13
i=20 492.805 time 8:12, left 17:37:13
i=23 538.871 time 8:58, left 18:55:50
i=30 663.249 time 11:03, left 17:51:33
i=36 833.270 time 13:53, left 18:19:39
i=43 563.728 time 9:23, left 17:11:56
i=49 517.275 time 8:37, left 16:33:08
i=55 1130.158 time 18:50, left 17:40:01
i=61 420.629 time 7:00, left 16:47:43
i=64 295.508 time 4:55, left 16:36:23
i=70 504.085 time 8:24, left 16:04:33
i=76 562.518 time 9:22, left 15:42:59
i=82 309.436 time 5:09, left 14:56:54
i=88 354.935 time 5:54, left 14:20:41
i=94 435.510 time 7:15, left 13:55:27
i=100 326.940 time 5:26, left 13:23:24
i=106 395.009 time 6:35, left 12:59:34
i=112 457.321 time 7:37, left 12:42:02
i=117 449.004 time 7:29, left 12:32:49
i=122 450.396 time 7:30, left 12:23:50
i=128 546.694 time 9:06, left 12:13:35
i=134 880.824 time 14:40, left 12:22:37
i=140 551.631 time 9:11, left 12:11:46
i=143 602.241 time 10:02, left 12:23:38
i=149 546.633 time 9:06, left 12:11:49
i=155 868.994 time 14:28, left 12:15:31
i=161 652.751 time 10:52, left 12:08:07
i=167 513.994 time 8:33, left 11:54:31
i=171 1001.851 time 16:41, left 12:12:59
i=178 936.670 time 15:36, left 12:09:31
i=190 589.490 time 9:49, left 11:25:14
i=196 650.291 time 10:50, left 11:16:48
i=203 401.820 time 6:41, left 10:55:13
i=209 366.380 time 6:06, left 10:38:12
i=215 572.463 time 9:32, left 10:27:53
i=221 428.910 time 7:08, left 10:13:32
i=227 344.017 time 5:44, left 9:57:16
i=232 534.848 time 8:54, left 9:50:38
i=237 523.131 time 8:43, left 9:43:36
i=242 404.195 time 6:44, left 9:33:36
i=248 496.548 time 8:16, left 9:22:02
i=255 988.723 time 16:28, left 9:17:55
i=261 603.338 time 10:03, left 9:08:36
i=265 604.680 time 10:04, left 9:06:36
i=272 634.778 time 10:34, left 8:54:06
i=277 623.508 time 10:23, left 8:48:31
i=282 466.848 time 7:46, left 8:39:50
i=288 558.507 time 9:18, left 8:29:25
i=294 822.805 time 13:42, left 8:23:36
i=299 815.636 time 13:35, left 8:20:41
i=307 296.853 time 4:56, left 7:59:22
i=313 586.190 time 9:46, left 7:49:27
i=319 569.401 time 9:29, left 7:39:17
i=327 342.053 time 5:42, left 7:20:00
i=332 439.897 time 7:19, left 7:11:19
i=337 431.805 time 7:11, left 7:02:33
i=342 338.396 time 5:38, left 6:52:40
i=347 338.561 time 5:38, left 6:42:55
i=353 576.221 time 9:36, left 6:33:20
i=359 547.697 time 9:07, left 6:23:25
i=366 365.255 time 6:05, left 6:09:00
i=373 523.460 time 8:43, left 5:56:29
i=380 327.443 time 5:27, left 5:42:14
i=382 309.127 time 5:09, left 5:40:16
i=388 352.822 time 5:52, left 5:28:56
i=394 429.861 time 7:09, left 5:18:27
i=400 326.515 time 5:26, left 5:07:12
i=405 382.973 time 6:22, left 4:58:51
i=411 533.180 time 8:53, left 4:49:26
i=418 518.332 time 8:38, left 4:37:44
i=424 494.839 time 8:14, left 4:28:08
i=429 492.757 time 8:12, left 4:20:42
i=435 1023.694 time 17:03, left 4:14:27
i=441 658.210 time 10:58, left 4:05:44
i=447 529.645 time 8:49, left 3:56:14
i=451 887.297 time 14:47, left 3:52:49
i=458 844.504 time 14:04, left 3:42:45
i=466 702.469 time 11:42, left 3:29:51
i=473 945.510 time 15:45, left 3:20:03
i=478 942.315 time 15:42, left 3:14:05
i=489 317.479 time 5:17, left 2:53:40
i=494 601.492 time 10:01, left 2:46:13
i=500 375.196 time 6:15, left 2:36:05
i=504 366.794 time 6:06, left 2:29:44
i=510 498.680 time 8:18, left 2:20:05
i=516 573.867 time 9:33, left 2:10:39
i=523 408.075 time 6:48, left 1:59:01
i=529 370.078 time 6:10, left 1:49:12
i=535 635.564 time 10:35, left 1:39:59
i=541 546.502 time 9:06, left 1:30:35
i=547 412.195 time 6:52, left 1:20:58
i=552 798.896 time 13:18, left 1:13:39
i=557 785.351 time 13:05, left 1:06:13
i=562 473.902 time 7:53, left 58:20
i=568 552.648 time 9:12, left 48:51
i=574 704.046 time 11:44, left 39:30
i=580 500.211 time 8:20, left 29:59
i=584 493.399 time 8:13, left 23:43
i=589 493.739 time 8:13, left 15:49
i=595 940.651 time 15:40, left 6:22
